,k,date,irr
0,la volcana Apartments,2007-10-01,0.2533821891620618
0,la volcana Apartments,2008-01-01,0.25147258493781854
0,la volcana Apartments,2008-04-01,0.20106097145849722
0,la volcana Apartments,2008-07-01,0.21322113179925162
0,la volcana Apartments,2008-10-01,0.2813717043938757
0,la volcana Apartments,2009-01-01,0.3164141433348875
0,la volcana Apartments,2009-04-01,0.26940506181948076
0,la volcana Apartments,2009-07-01,0.2284571476970223
0,la volcana Apartments,2009-10-01,0.1747237232054033
0,la volcana Apartments,2010-01-01,0.12669462668702702
0,la volcana Apartments,2010-04-01,0.12448626291334475
0,la volcana Apartments,2010-07-01,0.03906188213710027
0,la volcana Apartments,2010-10-01,0.025115006766936343
0,la volcana Apartments,2011-01-01,-0.09395767242695519
0,la volcana Apartments,2011-04-01,-0.1457061768242821
0,la volcana Apartments,2011-07-01,-0.1713333945592268
0,la volcana Apartments,2011-10-01,-0.14710943559246914
0,la volcana Apartments,2012-01-01,-0.19499064921358233
0,la volcana Apartments,2012-04-01,-0.2127229552956018
0,la volcana Apartments,2012-07-01,-0.22299265081228214
0,la volcana Apartments,2012-10-01,-0.2258859975056121
0,la volcana Apartments,2013-01-01,-0.20374685766284306
0,la volcana Apartments,2013-04-01,-0.15064320496222106
0,la volcana Apartments,2013-07-01,-0.17862096377457126
0,la volcana Apartments,2013-10-01,-0.22750823323244074
0,la volcana Apartments,2014-01-01,-0.1997531069151527
0,la volcana Apartments,2014-04-01,-0.26462060388305486
0,la volcana Apartments,2014-07-01,-0.29525405465863663
0,la volcana Apartments,2014-10-01,-0.19767931339099698
0,la volcana Apartments,2015-01-01,-0.13595759035859833
0,la volcana Apartments,2015-04-01,-0.1772874360175326
0,la volcana Apartments,2015-07-01,-0.0767572783806989
0,la volcana Apartments,2015-10-01,-0.05786485011049325
0,la volcana Apartments,2016-01-01,0.08811193295278441
0,la volcana Apartments,2016-04-01,0.10981933110117259
0,la volcana Apartments,2016-07-01,0.08382609947941355
0,la volcana Apartments,2016-10-01,0.07442202690482658
0,la volcana Apartments,2017-01-01,0.04957563088202033
0,la volcana Apartments,2017-04-01,0.05502339510288379
0,la volcana Apartments,2017-07-01,0.0064565529000164545
0,la volcana Apartments,2017-10-01,-0.03846861265046464
0,la volcana Apartments,2018-01-01,-0.05578060097629611
0,la volcana Apartments,2018-04-01,-0.01700756680149529
0,la volcana Apartments,2018-07-01,0.03886452135462659
0,la volcana Apartments,2018-10-01,0.059638496813114505
0,la volcana Apartments,2019-01-01,
0,la volcana Apartments,2019-04-01,
0,la volcana Apartments,2019-07-01,
0,la volcana Apartments,2019-10-01,
0,la volcana Apartments,2020-01-01,
0,la volcana Apartments,2020-04-01,
0,la volcana Apartments,2020-07-01,
0,la volcana Apartments,2020-10-01,
0,la volcana Apartments,2021-01-01,
0,la volcana Apartments,2021-04-01,
0,la volcana Apartments,2021-07-01,
0,la volcana Apartments,2021-10-01,
0,la volcana Apartments,2022-01-01,
0,la volcana Apartments,2022-04-01,
0,la volcana Apartments,2022-07-01,
0,la volcana Apartments,2022-10-01,
0,la volcana Apartments,2023-01-01,
0,la volcana Apartments,2023-04-01,
0,la volcana Apartments,2023-07-01,
0,la volcana Apartments,2023-10-01,
0,lagasca Property,2009-04-01,-0.0684450711389144
0,lagasca Property,2009-07-01,-0.0769128420779922
0,lagasca Property,2009-10-01,-0.1184078693172349
0,lagasca Property,2010-01-01,-0.13005055490816964
0,lagasca Property,2010-04-01,-0.08625151415533727
0,lagasca Property,2010-07-01,-0.09182532003238708
0,lagasca Property,2010-10-01,-0.11351485248554805
0,lagasca Property,2011-01-01,-0.114708286685408
0,lagasca Property,2011-04-01,-0.13534463566675103
0,lagasca Property,2011-07-01,-0.11416430983763881
0,lagasca Property,2011-10-01,-0.08789795655867838
0,lagasca Property,2012-01-01,-0.05675747542074305
0,lagasca Property,2012-04-01,-0.007899810708244526
0,lagasca Property,2012-07-01,0.053336117484689805
0,lagasca Property,2012-10-01,0.05389060270806123
0,lagasca Property,2013-01-01,0.0787828909261652
0,lagasca Property,2013-04-01,0.08958334112177391
0,lagasca Property,2013-07-01,0.09481815030369423
0,lagasca Property,2013-10-01,0.0838787431070851
0,lagasca Property,2014-01-01,0.07949664342863261
0,lagasca Property,2014-04-01,0.08148778356202047
0,lagasca Property,2014-07-01,0.08509313542697572
0,lagasca Property,2014-10-01,0.10241253333508826
0,lagasca Property,2015-01-01,0.14002988847105535
0,lagasca Property,2015-04-01,0.14199133428230404
0,lagasca Property,2015-07-01,0.14979321116945354
0,lagasca Property,2015-10-01,0.15474695911658887
0,lagasca Property,2016-01-01,0.15766005379541648
0,lagasca Property,2016-04-01,0.1571227357828231
0,lagasca Property,2016-07-01,0.158740698745651
0,lagasca Property,2016-10-01,0.15367409904464635
0,lagasca Property,2017-01-01,0.1494159390036376
0,lagasca Property,2017-04-01,0.1315334946997988
0,lagasca Property,2017-07-01,0.07784055903947085
0,lagasca Property,2017-10-01,0.07120517910053148
0,lagasca Property,2018-01-01,0.0548374292746725
0,lagasca Property,2018-04-01,0.06602590895007054
0,lagasca Property,2018-07-01,0.0691920630886329
0,lagasca Property,2018-10-01,0.07449609718746508
0,lagasca Property,2019-01-01,
0,lagasca Property,2019-04-01,
0,lagasca Property,2019-07-01,
0,lagasca Property,2019-10-01,
0,lagasca Property,2020-01-01,
0,lagasca Property,2020-04-01,
0,lagasca Property,2020-07-01,
0,lagasca Property,2020-10-01,
0,lagasca Property,2021-01-01,
0,lagasca Property,2021-04-01,
0,lagasca Property,2021-07-01,
0,lagasca Property,2021-10-01,
0,lagasca Property,2022-01-01,
0,lagasca Property,2022-04-01,
0,lagasca Property,2022-07-01,
0,lagasca Property,2022-10-01,
0,lagasca Property,2023-01-01,
0,lagasca Property,2023-04-01,
0,lagasca Property,2023-07-01,
0,lagasca Property,2023-10-01,
